"Name","Amount stolen"
"Azucena",261
"Dawne",210
"Rozanne",223
"Elenor",136
"Wava",140
"Fredric",282
"Clarinda",54
"Rosamond",278
"Shanell",294
"Sabina",262
"Celesta",63
"Vicente",174
"Carole",308
"Jaqueline",287
"Shawn",162
"Sueann",338
"Kermit",311
"Tessa",66
"Glinda",334
"Rosena",159
"Harris",207
"Jacqulyn",280
"Lillian",66
"Dewey",227
"Jeanetta",190
"Joshua",139
"Charisse",236
"Shaunda",244
"Clyde",129
"Porsha",133
"Eva",298
"Alvina",297
"Laureen",226
"Pearly",345
"Dawn",323
"Livia",118
"Clarence",258
"Rudolph",344
"Ja",123
"Yang",210
"Shayne",81
"Rosie",349
"Athena",252
"January",54
"Ted",222
